10e03bc 2025-11-17 | MainScene Final Fixes
ae72db2 2025-11-17 | Main Menu
f5470d2 2025-11-16 | Merge branch 'dev' into dev-Shayla
d9cabd7 2025-11-16 | Merge branch 'dev' into dev-Shayla
2ebcb5e 2025-11-16 | Finished up the Credits
0f7c5b1 2025-11-16 | Merge branch 'dev' into dev-Shayla
1aa407e 2025-11-16 | Update MainMenu.unity
d0f458f 2025-11-16 | Merge branch 'dev' into dev-Shayla
2740296 2025-11-16 | Update MainScene - Setup.unity
960f6c5 2025-11-16 | Update MainScene - Setup.unity
579290e 2025-11-16 | Update MainScene - Setup.unity
d0afbb1 2025-11-16 | Final Main Scene
0315437 2025-11-16 | Merge branch 'dev' into dev-Shayla
8cc6e5e 2025-11-16 | Update MainScene - Setup.unity
ce559e6 2025-11-16 | Taking out the trash
3a1ea37 2025-11-16 | main Scene
054fcdb 2025-11-16 | Main Menu
a85e98d 2025-11-16 | Merge branch 'dev' into dev-Shayla
6080425 2025-11-16 | Update MainScene - Setup.unity
d8963b2 2025-11-16 | Fixed Enemies Despwaning when night is over
adaa7fe 2025-11-16 | Merge branch 'dev' into dev-Shayla
45a6a7d 2025-11-16 | Working on Main Scene
610e736 2025-11-16 | Merge branch 'dev' into dev-Shayla
01e5cf1 2025-11-16 | Changing the wolf audio
ec87c83 2025-11-16 | Merge branch 'dev' into dev-Shayla
ee34771 2025-11-16 | Added Enemy Spawn Points to Scene
792b7b1 2025-11-16 | Fixed Day/Night Cycle and made the ground Matte
6f37b38 2025-11-16 | Main Scene
5208c75 2025-11-15 | Merge branch 'dev' into dev-Shayla
e71e3ed 2025-11-15 | Working On Main
bb83245 2025-11-15 | Merge branch 'dev' into dev-Shayla
b3e7a0e 2025-11-15 | Made Sure the Sprinklers Dont damage Player
c195411 2025-11-15 | Merge branch 'dev' into dev-Shayla
8e1b2b1 2025-11-15 | Main Scene SetUp
45dc742 2025-11-15 | Merge branch 'dev' into dev-Shayla
e65972e 2025-11-15 | Building Scene
7c9eb02 2025-11-15 | Merge branch 'dev' of https://github.com/zipzopboppitybop/TeamCatalyst into dev
d3d313a 2025-11-15 | Barn
ece406b 2025-11-15 | Merge branch 'dev' into dev-Shayla
cf26925 2025-11-15 | Added the Back to main Menu Button to the pause menu
3b419dc 2025-11-15 | Merge branch 'dev-Shayla' into dev
b3dd998 2025-11-15 | Added Audio To Cow, fixed script duplicate issue
4bf5d3a 2025-11-15 | Merge branch 'dev-Shayla' into dev
40664e9 2025-11-15 | Update LivestockAI.cs
3bb44ee 2025-11-15 | Merge branch 'dev' into dev-Shayla
fe4611e 2025-11-15 | Cow
8b687d9 2025-11-15 | Merge branch 'dev' into dev-Shayla
97ff8b7 2025-11-15 | Merge branch 'dev' of https://github.com/zipzopboppitybop/TeamCatalyst into dev
9b98290 2025-11-15 | Added Shop Icons
7252772 2025-11-15 | Merge branch 'dev' into dev-Shayla
4d3880f 2025-11-15 | Merge branch 'dev' of https://github.com/zipzopboppitybop/TeamCatalyst into dev
bc87cf9 2025-11-15 | Update MainScene - Setup.unity
980fa3f 2025-11-15 | Merge branch 'dev' into dev-Shayla
961f573 2025-11-15 | Working on Credits
